k0,k1,damping,velocity,w_max
61323170.46993974,407804.1696372193,0,24.830630173226748,0.00010777615650860266
67077295.04229194,492660.9005545765,0,63.84297737043419,0.00010117000377308481
19667805.324828256,345373.1615165612,0,10.11997789162666,0.00025327317806891084
34310550.22664495,363173.95048307953,0,29.709951838700245,0.00017191209682513
24452459.066602655,184678.28417772596,0,48.246236879557046,0.00022249850351855436
63960071.63798298,476854.375299309,0,22.71540443413733,0.00010624141414148856
11290763.52015056,89711.93136826222,0,76.04050099991585,0.00044361429580014143
6863921.035675275,144053.4163608811,0,77.20227251459605,0.0006054672399896685
76410676.92630216,451671.3458529452,0,74.7334800222737,9.120809224522742e-05
38464529.598100305,172023.71761760366,0,73.07052007799155,0.0001555664563979905
45233788.468023896,475331.5673953141,0,28.264394486201798,0.00013422544515501815
65027037.3106265,80854.90968714953,0,73.37251792324625,0.00010819484191020693
1429205.766143957,155689.3092960325,0,34.603696139508614,0.0017611875826193885
25028465.702691536,454813.3943325298,0,44.07222307169251,0.00020954931868175894
79261281.89543717,52876.12582363229,0,25.596925105164985,8.97394900065645e-05
19686416.91152093,109203.12494706022,0,71.67542179075846,0.0002770508708054555
22141003.501116388,152782.0355465514,0,45.87442930299668,0.00024337778260786493
41643896.886862,368712.4886048151,0,65.55801200562684,0.00014867004694508668
51648005.16531089,420675.8444010898,0,34.273649810729424,0.00012450358042161123
10131483.711970096,413023.0735300534,0,75.773843003727,0.0004645691781088486
71372390.86956431,315559.9008502559,0,69.26182066013568,0.0001014665000410741
28538294.262066845,366527.7753339667,0,52.853105032708996,0.00019186766333034716
54051169.78021557,184278.1265097784,0,32.37474849890873,0.00011964547043312579
32184415.211081766,36624.0635246963,0,41.21241288422067,0.00018475808770548074
50250108.028238714,275451.6352829691,0,62.53228638711163,0.00012891359414736282
21726523.454695396,354381.95467214286,0,59.9479759557481,0.0002547061243159174
44603419.06158629,48739.73030152269,0,15.709256862443889,0.00013809438282822304
5157676.512517551,388928.222081815,0,45.56238677253443,0.0006772825827755767
33060382.141145702,370132.73552639945,0,10.29823924823535,0.00017181254844306077
1279834.308270578,424698.4296016753,0,31.450317501657842,0.001992222691214465
31469828.40882127,377570.44293950085,0,58.198035568293456,0.00018360433442914695
37775704.07019157,425898.4888762738,0,64.71316910183424,0.00016086049118781108
51702126.007868215,406838.7399828895,0,57.2916019129756,0.00012420738387717892
27398904.25425909,30360.30171167759,0,50.00250067227515,0.00020996191934861386
63669416.97751387,47217.55594692532,0,67.14190262465381,0.00010714161141762491
12740377.929561585,427686.1404609082,0,23.442036627429744,0.00035091859317198254
10760155.19611189,384444.53001268767,0,78.15885253371577,0.00044209613399293383
33926462.77161357,105584.3131603351,0,75.70346176999784,0.00017846637275832755
12065968.647430826,361961.1110322686,0,36.722718665131865,0.0003603686159556575
13545306.530504465,73760.88956971554,0,19.84087427877114,0.0003346115098346857
36958490.894962795,213372.6447753781,0,39.38844045195152,0.00016519594412616967
43383975.31375911,323251.7926973211,0,62.02099850169667,0.00013991508070008594
35866753.20896345,202070.23158969285,0,32.55657979113114,0.00016433382601697082
48059964.79822683,82103.23101577563,0,21.719306731015916,0.00013108930922285872
28895123.294355143,339772.9913435968,0,14.562222095233135,0.00019038153148351762
64120797.124349445,265672.94352032494,0,66.25779035566077,0.00010857786154006326
2555865.9821802303,409804.7143285322,0,72.4385662225462,0.0012886392783081817
40049851.31831147,60815.208867174675,0,74.80705584057488,0.00014992933498090313
67933230.28971143,363588.2734243697,0,59.033145581558095,0.00010311985878665595
32374077.12826389,333920.67877266865,0,23.21390350777289,0.00017757830731635337
39537832.20827822,137568.81004669814,0,79.07365095541934,0.00015978489227333256
31427472.354104698,38530.18973585655,0,59.23519076114759,0.00018645403602601544
28109324.567605533,188656.6387830647,0,38.63626287448041,0.00019810724593864984
43266824.05385955,194982.61200861068,0,25.789345722845063,0.00014320792276030527
38224641.44113785,473662.6941910904,0,67.73542491090114,0.0001558911813300412
28575174.25386988,234944.2368042885,0,15.56022722608975,0.00019113347549224154
27506986.025629472,195395.25984688403,0,65.73809686983381,0.00020894911162276224
6724542.959531598,24310.486817888428,0,31.509119613600912,0.0005854208025578902
19030791.54344787,478493.9916630308,0,47.470235762903904,0.00027101208087712786
17181801.32878872,74380.2961883251,0,71.62113050652607,0.0002929088546809342
30470687.966096375,398694.47021700913,0,14.995386211622812,0.00018257608191529854
19253679.626422457,447343.61736399337,0,78.01367539661184,0.00025401632579568706
71819165.27917966,198415.7465318169,0,75.50612273129303,9.737555015586446e-05
8194160.521350552,33427.77382731113,0,72.2583331001147,0.000535175080058109
78747474.73167408,229798.51027102926,0,55.234088139287586,9.034061397944074e-05
11955336.181549923,150178.13058255563,0,70.32861685801703,0.000397241375522663
62505860.63955531,33794.08656463165,0,24.810072682225176,0.00010629780001754951
1264824.7459454946,176348.02586364705,0,39.240362711957744,0.002203600066629888
40650418.95338797,183914.62611823485,0,19.706281049910523,0.00015054322116727031
41060950.056820504,257515.27118503768,0,38.73231312738419,0.0001526642703844396
31438893.148787003,430247.67522723315,0,20.056849561413053,0.00017718771317100135
34619623.41377126,90726.5903471614,0,54.20268639459935,0.00017350423383771118
53580272.50183711,35979.26211278382,0,21.411806907919477,0.00012154029821926554
45541921.65019799,106923.44284287546,0,65.64503656594883,0.00014189913197669562
28009822.1293622,243395.57585087803,0,48.26465777729849,0.0002034074683479337
72054367.38165627,362518.8545774382,0,52.102811503858604,9.643433600446322e-05
28503926.303535935,444097.3957197302,0,49.95010870640193,0.00020417454493567468
34014529.99658923,454217.58151405095,0,31.111949143759688,0.00017326914076930058
46362092.249416575,63237.65839966641,0,53.12073228969969,0.00013514789300124807
18482620.713420283,420286.069753454,0,25.131772363040696,0.00026417750593666
60734973.83539947,360829.8622771326,0,66.55822503732827,0.00011012011760518051
44555513.71790134,298747.8237342701,0,46.99983629262798,0.0001436878379490386
5947066.349338406,341208.7861595305,0,55.806186894336086,0.0006999433966170921
33584160.485588185,377462.1283309677,0,39.844793688035296,0.00017126977461625972
39196252.01172832,117425.72948068159,0,27.7737592652993,0.0001550127716182028
23288796.934256386,27463.098098817776,0,52.757022574072934,0.00024241405615778712
59975084.3278546,181184.31177585523,0,54.93377109606343,0.00011116389320862888
56003469.94378935,497233.44305476657,0,27.669804986713725,0.00011497083027047273
49363048.58349745,162570.6702789934,0,56.55552838283928,0.000129321674013244
30816752.631801266,76493.13137307692,0,36.553201223080606,0.00018445847810398723
40497314.02923763,136592.0544666621,0,51.730135553341626,0.00015338679794630358
40416765.78523609,232349.43590299677,0,11.220096696368522,0.00014775736812961933
60270393.40368396,178543.07350654938,0,69.59836568805669,0.00011391256751042544
23232060.346168973,33252.178002114626,0,40.59234793232803,0.00022716575023544276
39045297.42248352,369474.33347863116,0,79.54540451628483,0.00016221610609116436
75312139.07786274,368306.8425885301,0,43.8506290577716,9.225081573651715e-05
1156406.3399045756,262616.92817428685,0,60.898946701657444,0.0020069393580079585
75097888.14177187,289790.9739284993,0,57.92871409744996,9.757697467496868e-05
54751522.10285493,115111.01465002497,0,26.90099409624741,0.00011934058656881696
54695074.63837672,269012.23662190634,0,66.13086821007548,0.00011824182839611224
